,variable,mismatch_onset,mismatch_offset,rater1,rater2
0_0,char_intensity,25600,25600,RK,DB
0_1,char_intensity,40400,40600,RK,DB
0_2,char_intensity,232100,232300,RK,DB
0_3,char_intensity,241400,241400,RK,DB
0_4,char_intensity,243700,243800,RK,DB
0_5,char_intensity,252000,252200,RK,DB
0_6,char_intensity,255100,257900,RK,DB
0_7,char_intensity,263000,263300,RK,DB
0_8,char_intensity,266600,276700,RK,DB
0_9,char_intensity,280400,280400,RK,DB
0_10,char_intensity,286800,286800,RK,DB
0_11,char_intensity,410500,412200,RK,DB
0_12,char_intensity,416200,417200,RK,DB
0_13,char_intensity,423300,424900,RK,DB
0_14,char_intensity,427700,428300,RK,DB
0_15,char_intensity,430300,430900,RK,DB
0_16,char_intensity,435300,441800,RK,DB
0_17,char_intensity,442900,443100,RK,DB
0_18,char_intensity,447300,448800,RK,DB
0_19,char_intensity,451300,451500,RK,DB
0_20,char_intensity,459000,475500,RK,DB
0_21,char_intensity,476800,476900,RK,DB
0_22,char_intensity,596700,610600,RK,DB
0_23,char_intensity,729100,729400,RK,DB
0_24,char_intensity,733000,734300,RK,DB
0_25,char_intensity,743400,745300,RK,DB
0_26,char_intensity,749600,754100,RK,DB
0_27,char_intensity,754500,756100,RK,DB
0_28,char_intensity,818000,818000,RK,DB
0_29,char_intensity,822700,822800,RK,DB
0_30,char_intensity,841600,841800,RK,DB
0_31,char_intensity,844000,844000,RK,DB
0_32,char_intensity,965000,965400,RK,DB
0_33,char_intensity,970600,981700,RK,DB
0_34,char_intensity,985700,985700,RK,DB
0_35,char_intensity,1017500,1019700,RK,DB
0_36,char_intensity,1023600,1024000,RK,DB
0_37,char_intensity,1029000,1029000,RK,DB
0_38,char_intensity,1037300,1044300,RK,DB
0_39,char_intensity,1046100,1064400,RK,DB
0_40,char_intensity,1068900,1072600,RK,DB
0_41,char_intensity,1074300,1074500,RK,DB
0_42,char_intensity,1075100,1075200,RK,DB
0_43,char_intensity,1078300,1078400,RK,DB
0_44,char_intensity,1078900,1079600,RK,DB
0_45,char_intensity,1082400,1082400,RK,DB
0_46,char_intensity,1092300,1098300,RK,DB
0_47,char_intensity,1247400,1250900,RK,DB
0_48,char_intensity,1264800,1280500,RK,DB
1_0,char_valence_positive,100,25600,RK,DB
1_1,char_valence_positive,136300,235000,RK,DB
1_2,char_valence_positive,475400,475900,RK,DB
1_3,char_valence_positive,536600,536700,RK,DB
1_4,char_valence_positive,754600,754900,RK,DB
1_5,char_valence_positive,787100,787300,RK,DB
1_6,char_valence_positive,1040300,1074600,RK,DB
1_7,char_valence_positive,1174700,1174800,RK,DB
1_8,char_valence_positive,1280400,1283500,RK,DB
2_0,on_screen,25600,25600,RK,DB
2_1,on_screen,40400,40500,RK,DB
2_2,on_screen,232100,232300,RK,DB
2_3,on_screen,241400,241500,RK,DB
2_4,on_screen,243800,243800,RK,DB
2_5,on_screen,276400,276800,RK,DB
2_6,on_screen,280400,280500,RK,DB
2_7,on_screen,286800,286800,RK,DB
2_8,on_screen,416200,417200,RK,DB
2_9,on_screen,427800,428300,RK,DB
2_10,on_screen,430300,430700,RK,DB
2_11,on_screen,441600,441700,RK,DB
2_12,on_screen,442900,443000,RK,DB
2_13,on_screen,451300,451500,RK,DB
2_14,on_screen,476500,476700,RK,DB
2_15,on_screen,596700,596700,RK,DB
2_16,on_screen,603900,610600,RK,DB
2_17,on_screen,729100,729400,RK,DB
2_18,on_screen,745200,745200,RK,DB
2_19,on_screen,749500,749600,RK,DB
2_20,on_screen,756100,756100,RK,DB
2_21,on_screen,818000,818000,RK,DB
2_22,on_screen,822700,823000,RK,DB
2_23,on_screen,844000,844100,RK,DB
2_24,on_screen,965000,965400,RK,DB
2_25,on_screen,1017900,1020000,RK,DB
2_26,on_screen,1023600,1024000,RK,DB
2_27,on_screen,1029000,1029000,RK,DB
2_28,on_screen,1029900,1030000,RK,DB
2_29,on_screen,1044200,1044300,RK,DB
2_30,on_screen,1073900,1074200,RK,DB
2_31,on_screen,1074600,1075000,RK,DB
2_32,on_screen,1078300,1078400,RK,DB
2_33,on_screen,1078900,1079200,RK,DB
2_34,on_screen,1092300,1092700,RK,DB
2_35,on_screen,1101700,1101700,RK,DB
2_36,on_screen,1247400,1247900,RK,DB
2_37,on_screen,1250700,1250700,RK,DB
2_38,on_screen,1264800,1264800,RK,DB
2_39,on_screen,1280400,1280400,RK,DB
3_0,char_valence_negative,100,33700,RK,DB
3_1,char_valence_negative,136300,136400,RK,DB
3_2,char_valence_negative,244200,244200,RK,DB
3_3,char_valence_negative,247000,247000,RK,DB
3_4,char_valence_negative,252100,255300,RK,DB
3_5,char_valence_negative,267500,284500,RK,DB
3_6,char_valence_negative,348700,418700,RK,DB
3_7,char_valence_negative,429200,442400,RK,DB
3_8,char_valence_negative,472400,475900,RK,DB
3_9,char_valence_negative,536800,663000,RK,DB
3_10,char_valence_negative,734600,734900,RK,DB
3_11,char_valence_negative,754600,754900,RK,DB
3_12,char_valence_negative,787100,787300,RK,DB
3_13,char_valence_negative,904600,904700,RK,DB
3_14,char_valence_negative,972600,978300,RK,DB
3_15,char_valence_negative,1001600,1004600,RK,DB
3_16,char_valence_negative,1029500,1030900,RK,DB
3_17,char_valence_negative,1040300,1040700,RK,DB
3_18,char_valence_negative,1074700,1074800,RK,DB
3_19,char_valence_negative,1078900,1174800,RK,DB
3_20,char_valence_negative,1280400,1283500,RK,DB
